"","area","persona","Sexo","Edad","RelacionParentezco","Seguro_social","Estado_civil","Asiste_clases","Nivelinstruccion","Sabe_leer_escribir","Obtuvo_titulo","Autoidentificacion","Trabja","Actividad_hogar","Razon_notrabajo","Razon_covid","Horas_trabajo_semanal","Condicion_inactividad","Categoria_ocupacion","Tipo_trabajo","Años_trabajo","Numero_trabajo","Horas_trabajo_principal","Forma_Seguridad_social","Ingreso_transacciones_capital","Ingresos_jubilacion","Donaciones","Remesas","Recibe_Bono_DDHH","Monto_Bono_DDHH","Recibe_Bono_Discapacidad","Monto_Bono_Discapacidad","IngresoLaboral","Principal_motivo_desempleo","Condicion_actividad","Empleo","Desempleo","Sectores_empleados","Grupo_ocupacion","Rama_actividad","Nivel_instruccion","Categorias_edad","Ingreso_laboral","Ingresos_totales"
"1"," Urbana ",1," Hombre ",67," Jefe "," IESS, seguro general "," Casado(a) "," No "," Superior Universitario ",""," No "," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,700,300,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Superior","65 y más",NA,1000
"2"," Urbana ",1," Hombre ",57," Jefe "," IESS, seguro general voluntario "," Casado(a) "," No "," Superior Universitario ",""," No "," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",13," Uno ",36," IESS Voluntario ",NA,NA,200,NA," No ",NA," No ",NA,"Gasta mas de lo que gana","","Otro empleo no pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","R. Artes, entretenimiento y recreación","Superior","40-64",NA,200
"3"," Urbana ",1," Mujer ",80," Jefe "," IESS, seguro general "," Viudo(a) "," No "," Secundaria ","",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Rentista ","","",NA,"",NA," No aporta ",250,300,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","65 y más",NA,550
"4"," Urbana ",1," Mujer ",74," Jefe "," IESS, seguro general "," Soltero(a) "," No "," Primaria "," Si ",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,250,200,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Básica","65 y más",NA,450
"5"," Urbana ",1," Hombre ",86," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,1000,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Superior","65 y más",NA,1000
"6"," Urbana ",1," Hombre ",53," Jefe "," Ninguno "," Casado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",38,""," Empleado privado "," Con contrato temporal, ocasional o eventual",25," Uno ",36," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"0","","Otro empleo no pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","F. Construcción","Superior","40-64",0,NA
"7"," Urbana ",1," Hombre ",28," Jefe "," IESS, seguro general "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Empleado privado "," Con contrato temporal, ocasional o eventual",24," Uno ",36," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"448","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","G. Comercio, reparación vehículos","Educación Media/Bachillerato","25-39",448,448
"8"," Urbana ",1," Mujer ",63," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",38,""," Empleado de gobierno ","Con nombramiento ",21," Uno ",36," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"1050","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Técnicos y profesionales de nivel medio","O .Administración pública, defensa y seguridad social","Educación Media/Bachillerato","40-64",1050,1050
"9"," Urbana ",1," Hombre ",38," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",60,""," Patrono ","",5," Uno ",58," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"2000","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","F. Construcción","Superior","25-39",2000,2000
"10"," Urbana ",1," Mujer ",46," Jefe "," IESS, seguro general "," Soltero(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",38,""," Empleado de gobierno ","Con nombramiento ",15," Uno ",36," IESS General ",NA,200,NA,NA," No ",NA," No ",NA,"1300","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","P. Enseñanza","Superior","40-64",1300,1500
"11"," Urbana ",1," Mujer ",72," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Secundaria ","",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,670,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Media/Bachillerato","65 y más",NA,670
"12"," Urbana ",1," Mujer ",44," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Post-grado ",""," Si "," Mestizo "," Si ","","","",60,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",14," Más de uno ",41," IESS General ",NA,170,NA,NA," No ",NA," No ",NA,"2540","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Personal direct./admin. pública y empresas","C. Industrias manufactureras","Superior","40-64",2540,2710
"13"," Urbana ",1," Mujer ",71," Jefe "," IESS, seguro general "," Viudo(a) "," No "," Secundaria ","",""," Blanco "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,305,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Media/Bachillerato","65 y más",NA,305
"14"," Urbana ",1," Hombre ",40," Jefe "," IESS, seguro general voluntario "," Casado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",60,""," Cuenta Propia ","",9," Uno ",58," IESS Voluntario ",NA,NA,600,NA," No ",NA," No ",NA,"700","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","F. Construcción","Superior","40-64",700,1300
"15"," Urbana ",1," Mujer ",32," Jefe "," Ninguno "," Casado(a) "," No "," Post-grado ",""," Si "," Mestizo "," Si ","","","",6,""," Cuenta Propia ","",2," Uno ",9," No aporta ",NA,NA,400,NA," No ",NA," No ",NA,"230","","Subempleo por insuficiencia de tiempo de trabajo","Población con empleo","","Sector Informal","Profesionales científicos e intelectuales","P. Enseñanza","Superior","25-39",230,630
"16"," Urbana ",1," Hombre ",35," Jefe "," IESS, seguro general "," Casado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",38,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",24," Uno ",36," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"905","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Personal direct./admin. pública y empresas","C. Industrias manufactureras","Superior","25-39",905,905
"17"," Urbana ",1," Hombre ",35," Jefe "," IESS, seguro general "," Soltero(a) "," No "," Post-grado ",""," Si "," Mestizo "," Si ","","","",38,""," Empleado privado "," Con contrato temporal, ocasional o eventual",24," Uno ",36," IESS General ",200,NA,400,NA," No ",NA," No ",NA,"1034","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","P. Enseñanza","Superior","25-39",1034,1634
"18"," Urbana ",1," Hombre ",38," Jefe "," IESS, seguro general "," Soltero(a) "," No "," Post-grado ",""," Si "," Mestizo "," Si ","","","",38,""," Cuenta Propia ","",3," Uno ",36," IESS General ",NA,NA,NA,NA," No ",NA," No ",NA,"No informa","","Empleo no clasificado","Población con empleo","","Sector Formal","Profesionales científicos e intelectuales","Q. Actividades, servicios sociales y de salud","Superior","25-39",NA,NA
"19"," Urbana ",1," Mujer ",46," Jefe "," IESS, seguro general "," Separado(a) "," No "," Superior Universitario ",""," Si "," Mestizo "," Si ","","","",38,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",10," Uno ",36," IESS General ",NA,NA,2000,NA," No ",NA," No ",NA,"979","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Empleados de oficina","C. Industrias manufactureras","Superior","40-64",979,2979
"20"," Urbana ",1," Mujer ",71," Jefe "," Ninguno "," Viudo(a) "," No "," Post-grado ",""," Si "," Blanco "," No "," No realizó ninguna actividad ","","",NA," Jubilado pensión ","","",NA,"",NA," No aporta ",NA,3000,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Superior","65 y más",NA,3000
"21"," Urbana ",1," Mujer ",76," Jefe "," Ninguno "," Viudo(a) "," No "," Post-grado ",""," Si "," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Rentista ","","",NA,"",NA," No aporta ",400,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Superior","65 y más",NA,400
"22"," Urbana ",1," Hombre ",58," Jefe "," Ninguno "," Soltero(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",27,""," Cuenta Propia ","",14," Uno ",25," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"60","","Otro empleo no pleno","Población con empleo","","Sector Informal","Trabajadores no calificados, ocupaciones elementales","G. Comercio, reparación vehículos","Educación Básica","40-64",60,60
"23"," Urbana ",1," Hombre ",73," Jefe "," IESS, seguro general "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",21,""," Cuenta Propia ","",36," Uno ",19," No aporta ",NA,360,NA,NA," No ",NA," No ",NA,"220","","Otro empleo no pleno","Población con empleo","","Sector Informal","Oficiales operarios y artesanos","G. Comercio, reparación vehículos","Educación Media/Bachillerato","65 y más",220,580
"24"," Urbana ",1," Mujer ",34," Jefe "," IESS, seguro general "," Divorciado(a) "," No "," Superior no universitario ",""," Si "," Mestizo "," Si ","","","",46,""," Empleado privado ","Con contrato permanente / indefinido / estable o de planta",13," Uno ",44," IESS General ",NA,350,NA,NA," No ",NA," No ",NA,"601","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Trabajad. de los servicios y comerciantes","Q. Actividades, servicios sociales y de salud","Superior","25-39",601,951
"25"," Urbana ",1," Mujer ",62," Jefe "," Ninguno "," Casado(a) "," No "," Secundaria ","",""," Mestizo "," No "," No realizó ninguna actividad ","","",NA," Ama de casa ","","",NA,"",NA," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"","","Población Económicamente Inactiva","","","","","","Educación Media/Bachillerato","40-64",NA,NA
"26"," Urbana ",1," Mujer ",46," Jefe "," IESS, seguro general "," Separado(a) "," No "," Secundaria ","",""," Afroecuatoriano "," Si ","","","",46,""," Empleado de gobierno "," Con contrato temporal, ocasional o eventual",57," Uno ",44," IESS General ",NA,250,NA,NA," No ",NA," No ",NA,"484","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Trabajad. de los servicios y comerciantes","K. Actividades financieras y de seguros","Educación Básica","40-64",484,734
"27"," Urbana ",1," Mujer ",59," Jefe "," Ninguno "," Viudo(a) "," No "," Secundaria ","",""," Mestizo "," Si ","","","",60,""," Cuenta Propia ","",8," Más de uno ",36," No aporta ",NA,150,NA,NA," No ",NA," No ",NA,"830","","Empleo Adecuado/Pleno","Población con empleo","","Sector Formal","Oficiales operarios y artesanos","C. Industrias manufactureras","Educación Media/Bachillerato","40-64",830,980
"28"," Urbana ",1," Hombre ",41," Jefe "," Ninguno "," Unión libre "," No "," Secundaria ","",""," Mestizo "," Si ","","","",27,""," Cuenta Propia ","",1," Uno ",25," No aporta ",NA,NA,NA,NA," No ",NA," No ",NA,"400","","Subempleo por insuficiencia de tiempo de trabajo","Población con empleo","","Sector Informal","Oficiales operarios y artesanos","F. Construcción","Educación Básica","40-64",400,400
"29"," Urbana ",1," Mujer ",58," Jefe "," Ninguno "," Divorciado(a) "," No "," Primaria "," Si ",""," Mestizo "," Si ","","","",46,""," Cuenta Propia ","",24," Uno ",44," No aporta ",NA,NA,NA,100," No ",NA," No ",NA,"630","","Empleo Adecuado/Pleno","Población con empleo","","Sector Informal","Trabajad. de los servicios y comerciantes","I. Actividades de alojamiento y servicios de comida","Educación Básica","40-64",630,730
